Descricao,Dificuldade ,Tempo Gasto,Categoria,Data
"Organização dos materiais didáticos de Robótica. Havia muitos livros na unidade além dos necessários, além disso algumas turmas não usarão mais o mesmo material didático, então primeiramente percebi qual material seria entregue de fato aos alunos de todas as turmas e depois contabilizamos aqueles que são de fato extras. Isso depois de separar os livros que ficarão na unidade para consulta futura.",Medio,Médio,ADI 1 - Didatica,03/01/2020
Entrega do Relatório de Atendimento do mês de dezembro para o Caio e para a Sede (Ivanei) ,Facil,Rápido,Periódico,03/01/2020
Desenvolvi o fluxograma de planejamento para a banca de contratação de professor de robótica,Medio,Médio,Atividades Extra,03/01/2020
"Desenvolvimento da ADI do ASI de 2020 enviado por e-mail a diretora com 5 metas, uma proposta pela diretora e outras 4 propostas por mim mesmo.",Medio,Médio,Atividades Gerais,03/01/2020
Assisti a um documentário chamado “Pro dia Nascer feliz”  (https://www.youtube.com/watch?v=zKPIJG_rVzQ),Facil,Longo,ADI 1 - Didatica,03/01/2020
Elaboração de pedido de compra de alguns materiais para o FabLab e para a escola.,Medio,Médio,ADI 5 - Projeto Tecnológico,03/01/2020
Assistência Técnica da Positivo veio arrumar um computador com defeito,Medio,Médio,Atividades Gerais,03/01/2020
Instalação da nova versão do Lego Mindstorms Education Edition,Facil,Longo,Atividades Gerais,06/01/2020
Testes com a versão educacional do software Minecraft,Medio,Médio,Atividades Gerais,06/01/2020
Estudos da temporada 2020 de FRC,Facil,Médio,Atividades Extra,06/01/2020
Preparação para a banca de professores,Medio,Médio,Atividades Extra,06/01/2020
Mudança de wallpaper padrão dos computadores,Facil,Médio,Atividades Gerais,06/01/2020
Troca de teclado de equipamento do LIE,Facil,Rápido,Atividades Gerais,09/01/2020
Pedido de instalação de 3 novos computadores,Facil,Rápido,Atividades Gerais,09/01/2020
Planejamento ações Saber em Ação com CP,Facil,Rápido,Atividades Gerais,09/01/2020
Desenvolvimento de projeto com Data Science,Dificil,Longo,ADI 5 - Projeto Tecnológico,09/01/2020